TEAM_LIVE_ID,TEAM_LIVE_NAME,ALLIANCE_NAME,ALLIANCE_LEADER,GUILD_NAME,GUILD_TAG,DISCORD_URL,DISCORD_CONTACT,GUILD_CONTACT,TEAM_ORIGIN_ID,TEAM_ORIGIN_NAME,ALLIANCE_ID,GUILD_ID,MISTS_MEMBERS,MISTS_LANG,MISTS_URL,DISCORD_POST_ALLIANCE,DISCORD_POST_RECRUITMENT,.
12015,Bava Nisos,Directionâlly Challenged,TRUE,Directionâlly Challenged,WW,,,FrouFrou.4958,12015,Bava Nisos,C3216090-F61D-EF11-BA1F-12061042B485,C3216090-F61D-EF11-BA1F-12061042B485,,,,,,
12015,Bava Nisos,Directionâlly Challenged,FALSE,Egg Fried Rice,HAYA,,,wehconk.6857,12009,Dragrimmar,C3216090-F61D-EF11-BA1F-12061042B485,77B7896B-538B-EB11-81B7-AD7CCA945DAC,74,EN,https://gw2mists.com/guilds/Egg%20Fried%20Rice,,,
12015,Bava Nisos,Directionâlly Challenged,FALSE,Judge Legends,JDGE,,,FrouFrou.4958,12015,Bava Nisos,C3216090-F61D-EF11-BA1F-12061042B485,3E945BA3-F62B-4FD6-B6CC-16A0AC9FAEC7,,,,,,
12015,Bava Nisos,The Last Syndicate,TRUE,The Last Syndicate,TLS,,@brindillet,Dolan De Southport.4506,12015,Bava Nisos,3BF4801C-85F0-E711-81A1-0234DC5E07D2,3BF4801C-85F0-E711-81A1-0234DC5E07D2,80,EN,,https://discord.com/channels/1118168848806445167/1266028487601426502/1266028487601426502,https://discord.com/channels/1118168848806445167/1266028487601426502/1266028487601426502,
12015,Bava Nisos,The Last Syndicate,FALSE,Surround Kill Devour,SKD,,@pigscream,Pig Scream.4980,12010,Grenth's Door,3BF4801C-85F0-E711-81A1-0234DC5E07D2,0BC679FD-8B2F-EC11-81A8-F161567B2263,40,EN,,,https://discord.com/channels/1118168848806445167/1266028487601426502/1266028487601426502,
12015,Bava Nisos,Theres Always A Bigger Fish,TRUE,Theres Always A Bigger Fish,BAIT,https://discord.gg/RMPc6HWQ59,@shiintoryuu,Shiinto.2431,12015,Bava Nisos,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,480,EN,https://gw2mists.com/guilds/Theres%20Always%20A%20Bigger%20Fish,https://discord.com/channels/1118168848806445167/1118852743344439306/1246968072590590105,https://discord.com/channels/1118168848806445167/1246969057018904636/1246969057018904636,
12015,Bava Nisos,Theres Always A Bigger Fish,FALSE,First Law Fight,Fate,,,,12015,Bava Nisos,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,94B2DBFA-19F7-EC11-8465-068565E44296,,,,,,
12015,Bava Nisos,Theres Always A Bigger Fish,FALSE,Homestead,home,,,,12001,Skrittsburgh,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,73C9D338-38A3-4478-90D3-AFBB7E6B0DE9,,,,,,
12015,Bava Nisos,Theres Always A Bigger Fish,FALSE,Onyx Vanguard,ONYX,https://discord.gg/qTNCv7qdUb,@xkillererik,Xkillererik.4510,,,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,EA29A951-A5F9-ED11-8465-0290273D6B3C,33,EN,https://gw2mists.com/guilds/Onyx%20Vanguard,,https://discord.com/channels/1118168848806445167/1201281965953916959/1201281965953916959,
12015,Bava Nisos,Theres Always A Bigger Fish,FALSE,Snakes With Bandanas,SNEK,,@tonari,Max.4695,12010,Grenth's Door,AF6C9208-66A6-EE11-BA1F-06F2763BE7D0,A8F44CB2-9B44-EF11-8465-0290273D6B3C,35,EN,https://gw2mists.com/guilds/Snakes%20With%20Bandanas,,https://discord.com/channels/1118168848806445167/1277622034326880351/1277622034326880351,
